Date,Open,High,Low,Close,Volume
2023-07-17,92.25,93.55000305175781,91.04000091552734,93.41000366210938,17317300
2023-07-18,91.54000091552734,92.20999908447266,90.1500015258789,91.19999694824219,20249700
2023-07-19,93.56999969482422,94.70999908447266,92.08999633789062,92.08999633789062,17228100
2023-07-20,91.69000244140625,93.12000274658203,91.3499984741211,91.9000015258789,14753000
2023-07-21,92.88999938964844,93.2300033569336,91.54000091552734,92.16999816894531,13882900
2023-07-24,92.06999969482422,97.46900177001953,91.30000305175781,96.3499984741211,33376100
2023-07-25,98.16999816894531,98.48999786376953,94.61000061035156,94.9800033569336,25827300
2023-07-26,94.94999694824219,97.54499816894531,94.83999633789062,97.13999938964844,15833400
2023-07-27,97.75,97.98999786376953,95.16100311279297,95.44000244140625,18685500
2023-07-28,98.06999969482422,101.22000122070312,97.95999908447266,100.55000305175781,31956500
2023-07-31,99.79000091552734,102.5,99.72000122070312,102.16000366210938,17726500
2023-08-01,99.87000274658203,101.16000366210938,99.30000305175781,100.0999984741211,14333700
2023-08-02,97.72000122070312,97.73999786376953,94.55999755859375,95.06999969482422,19452300
2023-08-03,96.70999908447266,98.48999786376953,96.58000183105469,97.58000183105469,15370900
2023-08-04,97.73500061035156,98.48999786376953,96.69000244140625,96.9000015258789,13434800
2023-08-07,97.77999877929688,97.80000305175781,95.02999877929688,96.55999755859375,13893900
2023-08-08,93.51000213623047,94.4800033569336,92.9219970703125,94.22000122070312,13504700
2023-08-09,96.0250015258789,96.30000305175781,94.08000183105469,94.8499984741211,18640100
2023-08-10,98.30999755859375,101.83999633789062,97.12000274658203,99.20999908447266,53193100
2023-08-11,97.33999633789062,97.6500015258789,94.33999633789062,95.72000122070312,25185600
2023-08-14,94.23999786376953,94.44999694824219,92.52999877929688,93.45999908447266,17581000
2023-08-15,93.0,93.01000213623047,90.74500274658203,91.58999633789062,14756300
2023-08-16,89.62999725341797,90.5,88.29000091552734,89.12000274658203,23292400
2023-08-17,91.94000244140625,91.94999694824219,90.26000213623047,90.6500015258789,15732300
2023-08-18,87.77999877929688,88.36000061035156,86.86000061035156,88.02999877929688,20391400
2023-08-21,87.5999984741211,88.81999969482422,87.22000122070312,88.56999969482422,14167300
